聚类类别,聚类个数,ZSL,ZSR,ZSF,ZSM,ZSC
客户群1,4181,0.05189353579860636,-0.003245952870198989,-0.22666647165788062,-0.23105176524982585,2.1922396809938953
客户群2,15741,1.160692624315844,-0.37720544083255214,-0.08695003881025691,-0.0948398131329502,-0.15587799040460565
客户群3,12125,-0.31357308348611307,1.6862247206388068,-0.5739735748701525,-0.5368028709265505,-0.1730686671476772
客户群4,24661,-0.7001928272754496,-0.4148870292360533,-0.16114371131587832,-0.16098404810269407,-0.2550366476181243
客户群5,5336,0.4833290325937604,-0.7993832595691638,2.4832016048074954,2.4247239085022585,0.30863002713761484
